Benchmark, NVars, Approx (worst), Approx Time, Exact Count, Exact Time, Mar Error
baital_4step,165,5269159581,98.0525537967682,-1,-1,-1
baital_5step,177,3722007541,111.78914837837219,-1,-1,-1
baital_90-10-5-q,460,4284157967739,33.97577962875366,-1,-1,-1
baital_XSEngine,1260,493241113703034,77.93186826705933,-1,-1,-1
baital_aaed2000,1284,540536892878422,80.28990569114686,-1,-1,-1
baital_adder,1272,501807178032292,79.52798314094544,-1,-1,-1
baital_adderII,1276,505810766518703,80.60598998069763,-1,-1,-1
baital_aeb,1213,390372224302422,82.8527646780014,-1,-1,-1
baital_aim711,1264,493027678773947,80.9753739118576,-1,-1,-1
baital_aki3068net,1207,385101373202196,82.04253802299499,-1,-1,-1
baital_am31_sim,1165,322762711571735,82.60221891403198,-1,-1,-1
baital_asb,1231,443426432673742,82.1586568593979,-1,-1,-1
baital_asb2305,1242,453573646191399,82.90603141784668,-1,-1,-1
baital_assabet,1266,465787026603245,84.81222054958343,-1,-1,-1
baital_at91sam7sek,1296,545878117738994,83.79553773403168,-1,-1,-1
baital_at91sam7xek,1319,624147248101356,82.87945129871369,-1,-1,-1
baital_atlas_mips32_4kc,1216,398334098823385,82.46069316864013,-1,-1,-1
baital_atlas_mips64_5kc,1209,381565924329898,81.51163785457611,-1,-1,-1
baital_blasted_case1,187,28022134039,72.90288960933685,-1,-1,-1
baital_blasted_case10,328,612831932088,61.823951959609985,-1,-1,-1
baital_blasted_case100,72,266378342,62.06249272823334,-1,-1,-1
baital_blasted_case102,34,3933413,72.11488101482391,3952316,53.00981569290161,0.004782765345685922
baital_blasted_case103,32,3189603,65.19638655185699,3203938,39.74666166305542,0.004474181460440246
baital_blasted_case105,170,23824593943,51.52993085384369,-1,-1,-1
baital_blasted_case106,204,60292238743,51.59908564090729,-1,-1,-1
baital_blasted_case108,205,52724182388,58.265292930603025,-1,-1,-1
baital_blasted_case109,241,121711828448,60.04695031642914,-1,-1,-1
baital_blasted_case11,105,1488244458,75.30003609657288,-1,-1,-1
baital_blasted_case110,287,156459555212,104.87099390029907,-1,-1,-1
baital_blasted_case111,306,210793281681,107.24598033428192,-1,-1,-1
baital_blasted_case112,137,4707292106,100.65364954471588,-1,-1,-1
