Benchmark, NVars, Approx (worst), Approx Time, Exact Count, Exact Time, Mar Error
baital_4step,165,0.9887587506731287,37.28655552864075,0.9997978300424557,12.831867218017578,0.011041311590822571
baital_5step,177,0.9822322322322322,43.13094255924225,1.0,9.696545124053955,0.017767767767767784
baital_90-10-5-q,460,1.0039514164188965,70.2728385925293,1.0,218.25152587890625,0.003951416418896514
baital_XSEngine,1260,0.9737646534695981,160.95014135837556,0.9776612069617541,16563.957867622375,0.0039855866883224305
baital_aaed2000,1284,0.9831036813643926,155.8078450679779,-1,-1,-1
baital_adder,1272,0.9832063538503711,140.22907133102416,0.975480321363347,15957.03832602501,0.007920234081427871
baital_adderII,1276,0.9797264183579336,150.18979296684265,0.9714260594337963,16375.06265592575,0.008544509222838028
baital_aeb,1213,0.9839478686771342,153.18439934253692,0.978151493848083,14962.869114398956,0.005925845705401031
baital_aim711,1264,0.9809881554146676,148.28527867794037,0.9762800930063783,16801.299621105194,0.004822450485281471
baital_aki3068net,1207,0.9798559184537246,152.3922011375427,0.9748082373985232,13864.96269249916,0.005178127206507966
baital_am31_sim,1165,0.9719146171399594,146.60867621898652,0.9792163429815556,12742.600603580475,0.007456703407710279
baital_asb,1231,0.988053860629562,158.98226895332337,0.9832679202185194,15310.594769954681,0.004867381832185693
baital_asb2305,1242,0.9875229117938107,152.25415580272676,0.9812831638851994,17008.40557694435,0.006358763849474594
baital_assabet,1266,0.9703373382123002,153.12433736324311,0.9750095182878719,16364.18237066269,0.004791932784180496
baital_at91sam7sek,1296,0.9745478515625,151.1511530637741,0.9801511782725181,17476.890466928482,0.005716798422763445
baital_at91sam7xek,1319,0.9850835596744667,154.40119037628173,0.9813430562928026,18297.842160224915,0.0038116164960645977
baital_atlas_mips32_4kc,1216,0.9812366700667656,143.24814298152924,0.9762796928823888,14376.984719991684,0.005077415028209525
baital_atlas_mips64_5kc,1209,0.9669228712836574,144.07017614841462,0.9700704753775414,14253.747588157654,0.003244716929106643
baital_blasted_case1,187,0.9939313984168865,38.892120599746704,0.9979509212591919,38.92969512939453,0.004027776072628604
baital_blasted_case10,328,1.0051478884590588,66.64115216732026,0.9957656737959578,141.01230216026306,0.009422110954412624
baital_blasted_case100,72,0.9985036340316374,21.67322051525116,1.0,1.5651617050170898,0.0014963659683625563
baital_blasted_case102,34,1.0,0.4502591848373413,1.0,0.18538832664489746,0.0
baital_blasted_case103,32,1.0,0.33413329124450686,1.0,0.1862637996673584,0.0
baital_blasted_case105,170,0.9991331984975441,37.47840609550476,0.9966782806491795,18.5124249458313,0.002463099573882164
baital_blasted_case106,204,0.9992451690821256,46.03568451404571,0.9958279926612883,33.01900792121887,0.0034314926332860802
baital_blasted_case108,205,0.9955526815878378,54.57367568016052,0.9996830092983939,42.64304780960083,0.00413163740119469
baital_blasted_case109,241,1.0030137663522969,52.447656226158145,0.9986310355645552,67.28724384307861,0.004388738815095973
baital_blasted_case11,105,1.0023253410500206,29.83545560836792,0.998348898405655,7.2204484939575195,0.003983019013408931
baital_blasted_case110,287,1.0043108556529983,60.66619882583618,0.99949593037909,112.18167066574097,0.004817353555488759
baital_blasted_case111,306,0.993700438230384,72.90655555725098,0.9984059164020749,137.49170470237732,0.004712991073458237
baital_blasted_case112,137,0.9702211126961484,31.08871474266052,0.9668885982641778,12.267395973205566,0.0034466374285034786
baital_blasted_case114,428,0.9828100547730829,82.28505907058715,0.985678322020574,439.47868061065674,0.0029099425070152345
baital_blasted_case116,438,0.9687616822429906,82.3246633052826,0.9623800417448898,433.9692840576172,0.00663110228941398
baital_blasted_case118,309,0.9900788587178441,73.14957542419434,0.999004384537326,142.16454887390137,0.008934421067246508
baital_blasted_case120,284,0.9818963219616205,61.24862718582153,0.9865898466934736,104.26613354682922,0.004757321137637232
baital_blasted_case121,291,0.998400146594497,57.557691597938536,0.9933947468810489,113.40711069107056,0.005038681480009389
baital_blasted_case122,314,0.9576481173864895,64.822137093544,0.9668184145345861,145.86112356185913,0.009485025326613217
baital_blasted_case123,267,0.9697448834565093,55.03683686256409,0.977266051289355,88.15401577949524,0.007696131286789893
baital_blasted_case124,133,0.9959225900681596,26.4945951461792,0.9979309925150611,10.194014310836792,0.0020125664619752444
baital_blasted_case125,393,0.9740615791588535,70.1243999004364,0.9792553236135942,295.7784974575043,0.005303769435304241
baital_blasted_case126,302,0.9698573657232004,61.217069959640504,0.9772518382352942,128.46596217155457,0.007566598723873079
baital_blasted_case127,36,1.0,0.4919995069503784,1.0,0.2756376266479492,0.0
baital_blasted_case131,432,0.987036206570997,82.67889873981476,0.9817636093459656,394.36605310440063,0.005370536425304955
baital_blasted_case134,60,0.9993656834760546,14.923400068283081,1.0,0.847224235534668,0.0006343165239454107
baital_blasted_case135,236,0.9952742921492922,48.86681365966797,0.9894874109740195,65.89766931533813,0.005848362607843881
baital_blasted_case136,211,1.0021654862174578,48.682083415985105,0.9997727299912681,41.821245193481445,0.0023933001515360672
baital_blasted_case14,247,1.0000847113038764,43.91289370059967,0.9973658801009605,60.994208574295044,0.0027260118449617702
baital_blasted_case140,488,0.9923349465723008,73.60695557594299,0.9950465215091525,509.4905905723572,0.002725073529968378
baital_blasted_case145,219,1.0006208609271523,46.18933279514313,0.9971752640041719,40.38950276374817,0.003455357395393629
baital_blasted_case17,77,1.001576665352779,23.54019978046417,0.9998032657879206,1.9699482917785645,0.001773748521876214
baital_blasted_case19,397,0.9879649745654938,73.49733383655548,0.992203749089223,270.58927392959595,0.004272080737066495
baital_blasted_case2,296,0.9914178118393234,69.60506222248077,0.9989888241941987,154.76210236549377,0.007578675728411813
baital_blasted_case200,14,1.0,0.18432533740997314,1.0,0.044172048568725586,0.0
baital_blasted_case203,214,0.9929781910876133,51.00460119247437,0.9959247797018592,47.92280030250549,0.002958645747450924
baital_blasted_case22,126,1.0095036958817318,30.810040259361266,1.0,7.9134368896484375,0.009503695881731833
baital_blasted_case24,65,1.000783494384957,14.321164393424988,1.0,1.3481531143188477,0.0007834943849569509
baital_blasted_case25,68,0.9989019033674963,15.797251629829407,1.0,1.5620324611663818,0.001098096632503709
baital_blasted_case31,53,0.9983007646559049,16.350876784324647,1.0,0.6503114700317383,0.001699235344095107
baital_blasted_case32,52,0.9982631350412505,16.26336863040924,0.9993479678330798,0.6478168964385986,0.001085540599218437
baital_blasted_case33,51,0.9997779258272262,0.8594549655914306,0.9997779258272262,0.6282122135162354,0.0
baital_blasted_case34,409,0.9433732762455516,70.23549768924713,0.9489186369958276,356.10350370407104,0.005843873788623239
baital_blasted_case35,400,0.9922488226059655,65.27191898822784,0.9960766989576431,330.3833155632019,0.0038429534148156593
baital_blasted_case36,64,1.0095550484883058,14.757424664497375,1.0102754388468673,1.2385845184326172,0.0007130633200226916
baital_blasted_case38,143,0.9933856239756498,32.049460315704344,0.9995026913175755,14.710626125335693,0.006120110926226755
baital_blasted_case39,245,0.9863206253428415,45.094656991958615,0.9819057971634727,58.81279110908508,0.00449618302705038
baital_blasted_case4,103,0.996030042918455,28.505824589729308,1.0,4.736590147018433,0.003969957081545017
baital_blasted_case43,116,0.9935549525101763,29.50914318561554,0.9991509594158601,7.803818702697754,0.005600762180076738
baital_blasted_case44,173,0.9924304724880383,41.112140727043155,0.9987651087078546,25.650633096694946,0.006342468478911651
baital_blasted_case46,176,0.9908523383371824,39.70128152370453,0.9969510545021559,28.792747259140015,0.006117367685637264
baital_blasted_case47,118,0.9950878594249202,29.014470100402832,0.9993610223642172,7.524474382400513,0.0042758951406648635
baital_blasted_case51,132,1.0033881578947368,29.433693099021912,0.9951336599480485,11.998668193817139,0.008294863573521613
baital_blasted_case54,203,1.003148085963734,39.24844501018524,0.9988945328351735,46.70640277862549,0.004258260495717866
baital_blasted_case55,149,0.9948517707918823,42.141267800331114,0.9990040832586395,19.474522352218628,0.0041564519468358044
baital_blasted_case56,202,1.005695882088209,38.9915846824646,0.9990714818305877,45.312201738357544,0.006630556850129899
baital_blasted_case57,288,0.894528348601139,64.16160192489625,0.9007843197920856,111.4159893989563,0.006945026743350334
baital_blasted_case59,93,1.0037918410041842,21.331902742385864,1.0034638258937325,3.3922152519226074,0.0003268828451882825
baital_blasted_case6,329,0.9767957830368488,66.36256651878357,0.9803062697495374,176.0065553188324,0.0035810101608199636
baital_blasted_case60,15,1.0,0.1116680383682251,1.0,0.04702115058898926,0.0
baital_blasted_case61,282,0.99036391668606,53.93893938064575,0.9989310179327195,96.6235179901123,0.008576269124557815
baital_blasted_case63,96,0.99652099609375,19.844200825691225,1.0042745481191988,3.82319974899292,0.007720550162273481
